model,l_accuracy,z_accuracy,p_accuracy
baseline,0.9628888888888889,0.9694074074074074,0.9660740740740741
mae-ct,0.938,0.9098518518518518,0.8678518518518519
reduced-100,0.9642222222222222,0.9713333333333334,0.9664444444444444
reduced-200,0.9625185185185186,0.9722962962962963,0.9668888888888889
reduced-300,0.9645925925925926,0.9706666666666667,0.9667407407407408
reduced-400,0.9658518518518519,0.9720740740740741,0.9676296296296296
reduced-500,0.9669629629629629,0.9737037037037037,0.9688148148148148
reduced-600,0.9665925925925926,0.9716296296296296,0.9654814814814815
reduced-700,0.968,0.9708888888888889,0.9657777777777777
reduced-800,0.9702962962962963,0.9720740740740741,0.9671111111111111
reduced-900,0.9683703703703703,0.9706666666666667,0.9654074074074074
